pipeline_id,length_km,diameters_mm,age_years,material,location,repair_type,repair_duration_hours,pressure,temperature,flow_rate,corrosion_level,deformation_level,leak_detection,pipeline_status
1,38.07947177,454.2719682,32,Cast Iron,Suburban,0ne,9,2.83959657,-1.455648212,73.70154545,3,2,1,1
2,95.12071633,526.0920934,36,Cast Iron,Rural,Replacement,29,9.076803141,23.64618153,96.39863844,2,3,1,1
3,73.46740024,869.0926539,37,PVC,Suburban,Repair,37,2.957548003,8.417617874,26.1168502,0,2,0,0
4,60.26718994,406.0039475,48,PVC,Suburban,Replacement,71,6.730055812,6.15547462,9.18978393,1,1,0,1
5,16.4458454,882.6847163,14,Steel,Urban,Replacement,38,8.926885104,13.06427881,91.59834101,1,4,0,1
6,16.44345751,179.3209879,27,Cast Iron,Suburban,Repair,88,1.314222531,17.12937512,26.60625443,2,1,0,0
7,6.750277605,799.1185935,19,Steel,Suburban,Repair,72,8.459125348,-2.903486887,72.43161329,0,2,0,0
8,86.75143843,862.7928697,31,Cast Iron,Suburban,Replacement,98,4.695394795,25.38816819,7.005304145,3,0,1,1
9,60.51038616,263.6358876,46,HDPE,Rural,0ne,59,6.921771177,34.147355,76.29789569,1,1,1,1
10,71.0991852,487.3118791,9,Steel,Urban,Replacement,57,4.351641069,3.89934581,13.57556382,4,2,1,1
11,3.037864935,248.9497972,38,Steel,Rural,0ne,90,7.259646307,-0.980454909,69.86304846,2,0,0,0
12,97.02107536,735.9437161,17,Steel,Rural,Repair,60,3.288654231,28.02527119,53.70196174,1,4,1,1
13,83.41182144,581.8129913,19,Cast Iron,Urban,Repair,28,1.197374882,-0.822913812,95.59332492,4,2,0,1
14,22.02157196,671.791012,44,PVC,Rural,0ne,28,9.530087633,-7.937241982,4.654846665,4,3,0,1
15,19.00067175,276.8382703,4,Steel,Rural,Replacement,46,1.147309876,20.96216102,29.91282583,1,3,1,1
16,19.15704648,290.5712758,48,PVC,Suburban,Repair,71,8.416893607,1.987570815,7.881382816,2,3,0,1
17,31.11998205,137.347593,11,Cast Iron,Rural,0ne,67,2.52223834,-1.409479554,88.04056589,4,0,0,1
18,52.95088673,389.8607817,22,Steel,Urban,0ne,86,4.529982057,39.08013709,59.79621421,4,0,1,1
19,43.76255685,603.7701952,4,Cast Iron,Rural,Replacement,55,8.402431389,4.59324917,53.96199162,0,1,1,0
20,29.83168488,872.1414226,17,PVC,Suburban,0ne,38,2.853389353,35.17216451,14.01433132,0,0,1,1
21,61.57343658,700.2347027,8,PVC,Rural,0ne,18,8.79136845,-1.089061706,49.41419347,0,2,1,1
22,14.8098922,491.8566911,46,Steel,Urban,Replacement,76,5.479830452,30.9488566,40.47166186,4,3,0,0
23,29.9223202,957.808103,34,PVC,Suburban,Repair,95,4.295381164,15.10094365,32.25943495,4,4,1,1
24,37.26982249,747.3206805,11,HDPE,Rural,Repair,63,6.961939721,-6.070261544,77.44670659,2,3,1,1
25,46.15092844,937.1486826,31,HDPE,Urban,Repair,5,4.072507498,26.68026468,7.066327944,3,2,1,1
26,78.73242018,574.8291759,11,Steel,Urban,0ne,44,4.125595231,34.60366859,65.02188701,0,4,1,1
27,20.76770443,333.0138473,38,Cast Iron,Rural,0ne,29,7.601737518,-1.849150483,82.47631009,3,1,0,1
28,51.9092094,147.5440177,21,Cast Iron,Rural,Replacement,14,3.788490021,26.27951212,90.823421,0,0,0,1
29,59.64904232,753.4763663,46,Cast Iron,Suburban,0ne,58,2.806953835,12.25262595,74.84574288,0,2,0,0
30,5.598590859,209.1726982,30,HDPE,Rural,0ne,44,8.268815152,27.69352266,28.96311221,2,0,1,1
31,61.14694034,372.4976154,10,PVC,Suburban,Repair,18,8.248339304,25.69639741,60.45023859,2,1,1,1
32,17.88188825,579.2238171,26,HDPE,Rural,0ne,7,5.478271333,-8.669988477,14.99895748,1,4,0,1
33,7.440107706,607.974929,27,PVC,Urban,0ne,87,5.739900545,-1.063948202,12.58900175,0,2,0,1
34,94.93966819,640.5248773,8,HDPE,Urban,0ne,97,7.264689632,13.55136215,64.22379007,0,4,1,1
